1000 25 0,1 57 750 8053300 21441724,93286 64008280,52613
1000 25 0,2 123 983 4071400 30139543,39461 51895812,92657
1000 25 0,30000000000000004 182 996 2990400 32039357,49787 42005919,62288
1000 25 0,4 235 1000 2581400 29100885,02711 34065353,04939
1000 25 0,5 302 1000 2622800 29383762,40848 32445644,70023
1000 25 0,6 357 1000 2058000 28265170,77242 30168291,76257
1000 25 0,7 421 1000 1372000 29337219,90921 30291425,8363
1000 25 0,7999999999999999 474 1000 1517500 39078606,06331 39674787,75178
1000 25 0,8999999999999999 538 1000 1649400 36638531,78196 36874350,1759
1000 25 0,9999999999999999 600 1000 1560700 41393459,21233 41393459,21233
1000 50 0,1 236 989 5357700 37689924,2438 74401162,10047
1000 50 0,2 491 1000 4970100 37854535,73508 50215281,33657
1000 50 0,30000000000000004 742 1000 3836900 38567293,96546 43818885,42289
1000 50 0,4 980 1000 3754000 39639611,61306 42385410,28531
1000 50 0,5 1229 1000 3500100 38509798,83913 40098537,24833
1000 50 0,6 1464 1000 3259400 40989483,56887 42145050,00311
1000 50 0,7 1713 1000 2865300 38119775,2055 38568523,14549
1000 50 0,7999999999999999 1954 1000 2750200 36605427,54456 36815148,7511
1000 50 0,8999999999999999 2206 1000 2503400 37009580,30067 37128250,79101
1000 50 0,9999999999999999 2450 1000 2427400 37644054,00734 37644054,00734
1000 75 0,1 565 1000 6010800 36766421,03472 60593292,20082
1000 75 0,2 1110 1000 5465300 36289770,00946 43402152,22412
1000 75 0,30000000000000004 1665 1000 4828400 36320992,37637 39465251,90434
1000 75 0,4 2223 1000 4505100 36632248,42019 38244516,2297
1000 75 0,5 2775 1000 4546500 36020850,66166 36879417,50762
1000 75 0,6 3332 1000 4482500 34492301,39199 35027139,31772
1000 75 0,7 3887 1000 4363500 34610746,06104 34936777,44028
1000 75 0,7999999999999999 4436 1000 4963500 31510532,50118 31634788,08377
1000 75 0,8999999999999999 4993 1000 4264900 30843306,53482 30888537,05748
1000 75 0,9999999999999999 5550 1000 3956500 29123723,9064 29123723,9064
1000 100 0,1 985 1000 8283100 28229884,94398 42251473,22317
1000 100 0,2 1978 1000 7173400 28004643,91485 32679646,07564
1000 100 0,30000000000000004 2967 1000 6387700 27130451,57052 29068252,13157
1000 100 0,4 3957 1000 6326500 27281948,9917 28152464,20149
1000 100 0,5 4946 1000 6175800 36491059,36002 37180002,83117
1000 100 0,6 5937 1000 5870200 35075790,45854 35415732,70242
1000 100 0,7 6927 1000 5704100 32790289,86043 32938218,88532
1000 100 0,7999999999999999 7918 1000 5628400 31531433,49077 31606816,36801
1000 100 0,8999999999999999 8911 1000 4848200 22228706,15806 22267308,88962
1000 100 0,9999999999999999 9900 1000 5207600 38615877,12225 38615877,12225
